공급업체명,가격 안정성,가격경쟁력 점수,개선제안 건수,검사통과율,공동프로젝트 참여도,긴급대응 능력,납기 점수,납기준수율 OTD,담당자,등급,리드타임 안정성,리스크관리 점수,불량률 PPM,비고,시장가 대비 수준,원가절감 기여도,자재군,재무건전성,정보공유 수준,지속가능성,총점,최종수정일,컴플라이언스,클레임 건수,평가기간,품질 점수,협력성과 점수
미래금속,85,85,7,9450%,80,76,80,9000%,,B,75,75,85.2,"성장 가능성 높음, 품질 안정화 필요",82,88,전략자재,78,85,72,80.1,2025년 11월 10일 오후 12:42,75,6,2025년 10월 1일 → 2025년 10월 31일,78,82
동양플라스틱,86,88,3,9550%,72,80,85,9350%,,B,82,78,65.5,"효율적 운영, 품질 개선 여지 있음",90,88,일상자재,80,68,75,82.5,2025년 11월 10일 오후 12:42,80,5,2025년 10월 1일 → 2025년 10월 31일,82,70
아시아MRO,79,78,2,9150%,60,64,72,8500%,,C,68,65,125.8,"개선 계획 수립 필요, 품질 문제 다수",80,75,일상자재,68,55,62,69.9,2025년 11월 10일 오후 12:42,65,10,2025년 10월 1일 → 2025년 10월 31일,68,58
중앙산업,55,55,0,8200%,45,35,48,6500%,,D,45,50,285.5,"교체 검토 필요, 심각한 품질 및 납기 문제",58,52,병목자재,52,40,48,48.1,2025년 11월 10일 오후 12:42,50,25,2025년 10월 1일 → 2025년 10월 31일,45,42
글로벌스틸,81,82,4,9680%,78,84,88,9500%,,B,85,80,55.8,"양호한 수준, 협력 강화 필요",85,80,레버리지자재,82,72,78,83.8,2025년 11월 10일 오후 12:42,80,4,2025년 10월 1일 → 2025년 10월 31일,85,75
대한전자부품,93,95,8,9880%,88,90,94,9920%,,A,95,88,25.3,가격 경쟁력 우수,95,97,레버리지자재,90,82,85,91.5,2025년 11월 10일 오후 12:42,90,2,2025년 10월 1일 → 2025년 10월 31일,90,85
삼성화학,78,75,5,9750%,75,75,82,9250%,,B,78,85,45.2,"공급 안정성 중요, 리드타임 개선 필요",72,75,병목자재,88,80,82,82.3,2025년 11월 10일 오후 12:42,85,3,2025년 10월 1일 → 2025년 10월 31일,88,78
신한부품,75,75,1,8850%,58,58,65,7800%,,C,60,68,165.2,"개선 요구, 3개월 모니터링",78,72,레버리지자재,70,52,65,65.4,2025년 11월 10일 오후 12:42,70,15,2025년 10월 1일 → 2025년 10월 31일,62,55
(주)한국정밀,86,88,12,9950%,90,95,92,9850%,,A,92,90,15.5,장기 파트너십 우수 업체,88,90,전략자재,92,95,88,92,2025년 11월 10일 오후 12:42,90,1,2025년 10월 1일 → 2025년 10월 31일,95,93
태평양소재,74,72,1,9000%,65,60,68,8250%,,C,62,70,145.5,대체 공급선 발굴 검토 중,70,72,병목자재,72,60,68,67.5,2025년 11월 10일 오후 12:42,70,12,2025년 10월 1일 → 2025년 10월 31일,65,62
